# NPCI UPI per-application statistics - hand-seeded.
#
# WHY THIS FILE EXISTS: npci.org.in serves HTTP 403 to every scripted request.
# These rows were read from the "UPI Applications" tab of the NPCI Ecosystem
# Statistics page in a real browser session on 2026-08-21. See docs/REFRESH.md.
#
# WHAT IT IS: monthly volume and value for the ten largest UPI apps. This is the
# only open source that attributes UPI activity to a PLAYER - PhonePe Pulse is
# PhonePe-only and the headline NPCI series is market-total.
#
# COVERAGE LIMIT: NPCI renders only 10 rows and offers no pagination, so this is
# the top ten by volume, not the full field. Shares are therefore computed
# against the NPCI NATIONAL monthly total (data/processed/upi_monthly.csv), not
# against the sum of these rows - which also yields an honest "everyone else"
# residual rather than pretending the ten apps are the whole market.
#
# WHY THE SERIES STARTS 2023-12: for earlier months NPCI renders the same capped
# ten rows ALPHABETICALLY rather than by size, so PhonePe is not even present in
# December 2022. Those months are unusable, not merely inconvenient.
#
# App names are transcribed VERBATIM and drift over time ("Phone Pe" / "PhonePe",
# "Fampay" / "FamApp by Trio"). Normalisation happens in fetch_upi_apps.py so the
# raw record stays checkable against the source. A trailing "#" is NPCI's own
# marker for a third-party application provider (TPAP).
#
# Units: volume_mn = million transactions; value_cr = INR crore.

month,app_raw,volume_mn,value_cr,source_url,accessed
2023-12,PhonePe,5642.66,901006.65,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2023-12,Google Pay,4375.29,629285.36,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2023-12,Paytm Payments Bank App,1573.61,191555.71,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2023-12,Cred,105.31,37293.27,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2023-12,Axis Bank Apps,86.9,6100.01,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2023-12,Amazon Pay,54.16,5982.84,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2023-12,ICICI Bank Apps,40.09,20884.56,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2023-12,Fampay,34.23,392.53,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2023-12,Yes Bank Apps,28.37,12368.87,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2023-12,Kotak Mahindra Bank Apps,26.36,4738.2,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-06,PhonePe #,6716.09,1009064.99,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-06,Google Pay #,5103.99,707241.27,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-06,Paytm,1104.89,120840.45,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-06,Cred #,138.42,45720.01,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-06,Axis Bank Apps,75.07,6614.04,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2024-06,Amazon Pay #,67.07,7377.3,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
