# RBI Bank-wise ATM/PoS/Card Statistics, the national 'Total' row.
# Browser-only source (decision 2): the listing page answers a script but the XLSX
# links return an interstitial, so each workbook is downloaded by hand and transcribed.
# Every month's Total row was reconciled against the sum of its own bank rows at
# 0.00% on every column below before being seeded. A month that fails is refused.
# Value in the workbook is stated in Rs'000 and is converted to rupees here.
# Cash withdrawal is EXCLUDED: it is not a merchant payment.
month,instrument,channel,volume,value_inr,source_url,accessed
2026-05,credit_card,ecom,296723746,1261795644000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-05,credit_card,other,8414225,4673773000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-05,credit_card,pos,290363554,760951304000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-05,debit_card,ecom,26007412,130497685000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-05,debit_card,other,75310,1835861000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-05,debit_card,pos,73778865,221870862000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-06,credit_card,ecom,292076805,1269994646000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-06,credit_card,other,3617787,1001415000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-06,credit_card,pos,285564493,742620678000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-06,debit_card,ecom,25759460,133982406000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-06,debit_card,other,77244,2084696000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-06,debit_card,pos,71256313,216918581000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-07,credit_card,ecom,307698073,1323389557000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-07,credit_card,other,3834990,1063731000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-07,credit_card,pos,293733617,757403699000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-07,debit_card,ecom,27352284,155158431000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-07,debit_card,other,82338,2408071000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
2026-07,debit_card,pos,74121309,221758107000,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10
