scheme_code,scheme_name,plan,option,nav,nav_date,fund_house,category,asset_class
135762,Axis Children's Fund,Direct Plan,Growth Option,30.2224,08-Sep-2026,Axis Mutual Fund,Open Ended Schemes(Childrenâs Fund - Childrens' Fund),Solution oriented
135765,Axis Children's Fund,Direct Plan,IDCW Option,27.8403,08-Sep-2026,Axis Mutual Fund,Open Ended Schemes(Childrenâs Fund - Childrens' Fund),Solution oriented
135759,Axis Children's Fund,Regular Plan,Growth Option,26.3241,08-Sep-2026,Axis Mutual Fund,Open Ended Schemes(Childrenâs Fund - Childrens' Fund),Solution oriented
135760,Axis Children's Fund,Regular Plan,IDCW Option,24.2861,08-Sep-2026,Axis Mutual Fund,Open Ended Schemes(Childrenâs Fund - Childrens' Fund),Solution oriented
135764,Axis Children's Fund,Direct Plan,Growth Option,30.8004,08-Sep-2026,Axis Mutual Fund,Open Ended Schemes(Childrenâs Fund - Childrens' Fund),Solution oriented
135763,Axis Children's Fund,Direct Plan,IDCW Option,27.8929,08-Sep-2026,Axis Mutual Fund,Open Ended Schemes(Childrenâs Fund - Childrens' Fund),Solution oriented
135766,Axis Children's Fund,Regular Plan,Growth Option,26.3208,08-Sep-2026,Axis Mutual Fund,Open Ended Schemes(Childrenâs Fund - Childrens' Fund),Solution oriented
135761,Axis Children's Fund,Regular Plan,IDCW Option,24.2641,08-Sep-2026,Axis Mutual Fund,Open Ended Schemes(Childrenâs Fund - Childrens' Fund),Solution oriented
119551,Aditya Birla Sun Life Banking & PSU Debt Fund,Direct Plan,IDCW-Re-investment,107.2176,08-Sep-2026,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt
119552,Aditya Birla Sun Life Banking & PSU Debt Fund,Direct Plan,MONTHLY DCW Payout,117.1204,08-Sep-2026,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt
119553,Aditya Birla Sun Life Banking & PSU Debt Fund,Direct Plan,QUARTERLY IDCW Payout,105.2437,08-Sep-2026,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt
108272,Aditya Birla Sun Life Banking & PSU Debt Fund,Regular Plan,IDCW-Re-investment,149.9979,08-Sep-2026,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt
110282,Aditya Birla Sun Life Banking & PSU Debt Fund,Regular Plan,MONTHLY IDCW Payout,112.3522,08-Sep-2026,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt
108274,Aditya Birla Sun Life Banking & PSU Debt Fund,Regular Plan,QUARTERLY IDCW Payout,102.7705,08-Sep-2026,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt
108273,Aditya Birla Sun Life Banking & PSU Debt Fund,Regular Plan,GROWTH,388.5774,08-Sep-2026,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt
119550,Aditya Birla Sun Life Banking & PSU Debt Fund,Direct Plan,GROWTH,404.9163,08-Sep-2026,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt
129008,Franklin India Banking & PSU Debt Fund,Direct Plan,Growth,25.3189,08-Sep-2026,Franklin Templeton Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt
129006,Franklin India Banking & PSU Debt Fund,Regular Plan,Growth,24.1499,08-Sep-2026,Franklin Templeton Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt
