ticker,bank,cohort,fy_end,net_interest_income,interest_income,interest_expense,net_income,total_revenue,total_assets,avg_total_assets,nim_proxy_pct,cost_of_funds_pct,yield_on_assets_pct
AXISBANK.NS,Axis Bank,Private,2023-03-31,440592200000.0,874483700000.0,433891500000.0,108184500000.0,624158400000.0,13444179600000.0,13444179600000.0,3.277196624180772,3.227355725000877,6.504552349181649
AXISBANK.NS,Axis Bank,Private,2024-03-31,513683100000.0,1127590500000.0,613907400000.0,263862000000.0,766030400000.0,15182385300000.0,14313282450000.0,3.5888560279197175,4.28907486556307,7.877930893482787
AXISBANK.NS,Axis Bank,Private,2025-03-31,563377800000.0,1273740900000.0,710363100000.0,280551100000.0,846683300000.0,16569626100000.0,15876005700000.0,3.5486117266889114,4.474444727618106,8.023056454307017
AXISBANK.NS,Axis Bank,Private,2026-03-31,584632500000.0,1325382400000.0,740749900000.0,263848500000.0,880673100000.0,19460502900000.0,18015064500000.0,3.245242335935017,4.111835958178224,7.357078294113241
BANKBARODA.NS,Bank of Baroda,Public,2023-03-31,445604485000.0,945026174000.0,499421689000.0,149052030000.0,557910573000.0,15258789729000.0,15258789729000.0,2.920313425337457,3.273009838066168,6.1933232634036255
BANKBARODA.NS,Bank of Baroda,Public,2024-03-31,484801492000.0,1183792248000.0,698990756000.0,187673789000.0,679012730000.0,16547793845000.0,15903291787000.0,3.0484348680334,4.395258323634504,7.443693191667904
BANKBARODA.NS,Bank of Baroda,Public,2025-03-31,496798480000.0,1279447723000.0,782649243000.0,207163280000.0,745466393000.0,18617740775000.0,17582767310000.0,2.8254851539635144,4.4512290312508265,7.276714185214341
BANKBARODA.NS,Bank of Baroda,Public,2026-03-31,524381913000.0,1342981244000.0,818599331000.0,198464251000.0,748702056000.0,21015018565000.0,19816379670000.0,2.6462044113630974,4.1309227246956555,6.777127136058753
CANBK.NS,Canara Bank,Public,2023-03-31,328946621000.0,858847261000.0,529900640000.0,112547457000.0,553766487000.0,13810295621000.0,13810295621000.0,2.3818941319387994,3.8369970820481973,6.218891213986997
CANBK.NS,Canara Bank,Public,2024-03-31,384011653000.0,1105187516000.0,721175863000.0,152785644000.0,661201114000.0,15350176368000.0,14580235994500.0,2.6337821496501017,4.946256447920624,7.580038597570726
CANBK.NS,Canara Bank,Public,2025-03-31,389204383000.0,1216011136000.0,826806753000.0,175396241000.0,711938129000.0,17325273850000.0,16337725109000.0,2.382243429873833,5.060721413071977,7.44296484294581
CANBK.NS,Canara Bank,Public,2026-03-31,372336835000.0,1263711993000.0,891375158000.0,197059095000.0,641752896000.0,18873251179000.0,18099262514500.0,2.0571934060943473,4.924925296187543,6.98211870228189
HDFCBANK.NS,HDFC Bank,Private,2023-03-31,913988500000.0,1689526700000.0,775538200000.0,495446900000.0,1205375000000.0,25755624000000.0,25755624000000.0,3.5486948403968004,3.011141178330605,6.559836018727405
HDFCBANK.NS,HDFC Bank,Private,2024-03-31,1248003400000.0,2781926200000.0,1533922800000.0,622656600000.0,1604968500000.0,44118573000000.0,34937098500000.0,3.572143805817189,4.390527164126122,7.962670969943311
HDFCBANK.NS,HDFC Bank,Private,2025-03-31,1404485600000.0,3227962600000.0,1823477000000.0,673508300000.0,1838641100000.0,48187671100000.0,46153122050000.0,3.0430998762737005,3.9509288191263328,6.994028695400033
HDFCBANK.NS,HDFC Bank,Private,2026-03-31,1499769500000.0,3360265000000.0,1860495500000.0,704793400000.0,1925667800000.0,52621193200000.0,50404432150000.0,2.9754714734942214,3.6911347289129215,6.666606202407143
ICICIBANK.NS,ICICI Bank,Private,2022-03-31,,,,,,,,,,
ICICIBANK.NS,ICICI Bank,Private,2023-03-31,705234219000.0,1210668098000.0,505433879000.0,340366408000.0,1355811552000.0,19584904970000.0,19584904970000.0,3.6009070254886204,2.580731843091501,6.181638868580122
