month,call_money_rate_pct
1968-01,6.0
1968-02,6.0
1968-03,5.0
1968-04,5.0
1968-05,5.0
1968-06,5.0
1968-07,5.0
1968-08,5.0
1968-09,5.0
1968-10,5.0
1968-11,5.0
1968-12,5.0
1969-01,5.0
1969-02,5.0
1969-03,5.0
1969-04,5.0
1969-05,5.0
1969-06,5.0
1969-07,5.0
1969-08,5.0
1969-09,5.0
1969-10,5.0
1969-11,5.0
1969-12,5.0
1970-01,5.0
1970-02,5.0
1970-03,5.0
1970-04,5.0
1970-05,5.0
1970-06,5.0
1970-07,5.0
1970-08,5.0
1970-09,5.0
1970-10,5.0
1970-11,5.0
1970-12,5.0
1971-01,6.0
1971-02,6.0
1971-03,6.0
1971-04,6.0
1971-05,6.0
1971-06,6.0
1971-07,6.0
1971-08,6.0
1971-09,6.0
1971-10,6.0
1971-11,6.0
1971-12,6.0
1972-01,6.0
1972-02,6.0
1972-03,6.0
1972-04,6.0
1972-05,6.0
1972-06,6.0
1972-07,6.0
1972-08,6.0
1972-09,6.0
1972-10,6.0
1972-11,6.0
1972-12,6.0
1973-01,6.0
1973-02,6.0
1973-03,6.0
1973-04,6.0
1973-05,7.0
1973-06,7.0
1973-07,7.0
1973-08,7.0
1973-09,7.0
1973-10,7.0
1973-11,7.0
1973-12,7.0
1974-01,7.0
1974-02,7.0
1974-03,7.0
1974-04,7.0
1974-05,7.0
1974-06,7.0
1974-07,9.0
1974-08,9.0
1974-09,9.0
1974-10,9.0
1974-11,9.0
1974-12,9.0
1975-01,9.0
1975-02,9.0
1975-03,9.0
1975-04,9.0
1975-05,9.0
1975-06,9.0
1975-07,9.0
1975-08,9.0
1975-09,9.0
1975-10,9.0
1975-11,9.0
1975-12,9.0
1976-01,9.0
1976-02,9.0
1976-03,9.0
1976-04,9.0
1976-05,9.0
1976-06,9.0
1976-07,9.0
1976-08,9.0
1976-09,9.0
1976-10,9.0
1976-11,9.0
1976-12,9.0
1977-01,9.0
1977-02,9.0
1977-03,9.0
1977-04,9.0
1977-05,9.0
1977-06,9.0
1977-07,9.0
1977-08,9.0
1977-09,9.0
1977-10,9.0
1977-11,9.0
1977-12,9.0
1978-01,9.0
1978-02,9.0
1978-03,9.0
1978-04,9.0
1978-05,9.0
1978-06,9.0
1978-07,9.0
1978-08,9.0
1978-09,9.0
1978-10,9.0
1978-11,9.0
1978-12,9.0
1979-01,9.0
1979-02,9.0
1979-03,9.0
1979-04,9.0
1979-05,9.0
1979-06,9.0
1979-07,9.0
1979-08,9.0
1979-09,9.0
1979-10,9.0
1979-11,9.0
1979-12,9.0
1980-01,9.0
1980-02,9.0
1980-03,9.0
1980-04,9.0
1980-05,9.0
1980-06,9.0
1980-07,9.0
1980-08,9.0
1980-09,9.0
1980-10,9.0
1980-11,9.0
1980-12,9.0
1981-01,9.0
1981-02,9.0
1981-03,9.0
1981-04,9.0
1981-05,9.0
1981-06,9.0
1981-07,10.0
1981-08,10.0
1981-09,10.0
1981-10,10.0
1981-11,10.0
1981-12,10.0
1982-01,10.0
1982-02,10.0
1982-03,10.0
1982-04,10.0
1982-05,10.0
1982-06,10.0
1982-07,10.0
1982-08,10.0
1982-09,10.0
1982-10,10.0
1982-11,10.0
1982-12,10.0
1983-01,10.0
1983-02,10.0
1983-03,10.0
1983-04,10.0
1983-05,10.0
1983-06,10.0
1983-07,10.0
1983-08,10.0
1983-09,10.0
1983-10,10.0
1983-11,10.0
1983-12,10.0
1984-01,10.0
1984-02,10.0
1984-03,10.0
1984-04,10.0
1984-05,10.0
1984-06,10.0
1984-07,10.0
1984-08,10.0
1984-09,10.0
1984-10,10.0
1984-11,10.0
1984-12,10.0
1985-01,10.0
1985-02,10.0
1985-03,10.0
1985-04,10.0
1985-05,10.0
1985-06,10.0
1985-07,10.0
1985-08,10.0
1985-09,10.0
1985-10,10.0
1985-11,10.0
1985-12,10.0
1986-01,10.0
1986-02,10.0
1986-03,10.0
1986-04,10.0
1986-05,10.0
1986-06,10.0
1986-07,10.0
1986-08,10.0
1986-09,10.0
1986-10,10.0
1986-11,10.0
1986-12,10.0
1987-01,10.0
1987-02,10.0
1987-03,10.0
1987-04,10.0
1987-05,10.0
1987-06,10.0
1987-07,10.0
1987-08,10.0
1987-09,10.0
1987-10,10.0
1987-11,10.0
1987-12,10.0
1988-01,10.0
1988-02,10.0
1988-03,10.0
1988-04,10.0
1988-05,10.0
1988-06,10.0
1988-07,10.0
1988-08,10.0
1988-09,10.0
1988-10,10.0
1988-11,10.0
1988-12,10.0
1989-01,10.0
1989-02,10.0
1989-03,10.0
1989-04,10.0
1989-05,10.0
1989-06,10.0
1989-07,10.0
1989-08,10.0
1989-09,10.0
1989-10,10.0
1989-11,10.0
1989-12,10.0
1990-01,10.0
1990-02,10.0
1990-03,10.0
1990-04,10.0
1990-05,10.0
1990-06,10.0
1990-07,10.0
1990-08,10.0
1990-09,10.0
1990-10,10.0
1990-11,10.0
1990-12,10.0
1991-01,10.0
1991-02,10.0
1991-03,10.0
1991-04,10.0
1991-05,10.0
1991-06,10.0
1991-07,11.0
1991-08,11.0
1991-09,11.0
1991-10,12.0
1991-11,12.0
1991-12,12.0
1992-01,12.0
1992-02,12.0
1992-03,12.0
1992-04,12.0
1992-05,12.0
1992-06,12.0
1992-07,12.0
1992-08,12.0
1992-09,12.0
1992-10,12.0
1992-11,12.0
1992-12,12.0
1993-01,12.0
1993-02,12.0
1993-03,12.0
1993-04,12.0
1993-05,12.0
1993-06,12.0
1993-07,12.0
1993-08,12.0
1993-09,12.0
1993-10,12.0
1993-11,12.0
1993-12,12.0
1994-01,12.0
1994-02,12.0
1994-03,12.0
1994-04,12.0
1994-05,12.0
1994-06,12.0
1994-07,12.0
1994-08,12.0
1994-09,12.0
1994-10,12.0
1994-11,12.0
1994-12,12.0
1995-01,12.0
1995-02,12.0
1995-03,12.0
1995-04,12.0
1995-05,12.0
1995-06,12.0
1995-07,12.0
1995-08,12.0
1995-09,12.0
1995-10,12.0
1995-11,12.0
1995-12,12.0
1996-01,12.0
1996-02,12.0
1996-03,12.0
1996-04,12.0
1996-05,12.0
1996-06,12.0
1996-07,12.0
1996-08,12.0
1996-09,12.0
1996-10,12.0
1996-11,12.0
1996-12,12.0
1997-01,12.0
1997-02,12.0
1997-03,12.0
1997-04,11.0
1997-05,11.0
1997-06,10.0
1997-07,10.0
1997-08,10.0
1997-09,10.0
1997-10,9.0
1997-11,9.0
1997-12,9.0
1998-01,11.0
1998-02,11.0
1998-03,10.5
1998-04,10.0
1998-05,9.0
1998-06,9.0
1998-07,9.0
1998-08,9.0
1998-09,9.0
1998-10,9.0
1998-11,9.0
1998-12,9.0
1999-01,9.0
1999-02,9.0
1999-03,8.0
1999-04,8.0
1999-05,8.0
1999-06,8.0
1999-07,8.0
1999-08,8.0
1999-09,8.0
1999-10,8.0
1999-11,8.0
1999-12,8.0
2000-01,8.0
2000-02,8.0
2000-03,8.0
2000-04,7.0
2000-05,7.0
2000-06,7.0
2000-07,8.0
2000-08,8.0
2000-09,8.0
2000-10,8.0
2000-11,8.0
2000-12,8.0
2001-01,8.0
2001-02,7.5
2001-03,7.0
2001-04,7.0
2001-05,7.0
2001-06,7.0
2001-07,7.0
2001-08,7.0
2001-09,7.0
2001-10,6.5
2001-11,6.5
2001-12,6.5
2002-01,6.5
2002-02,6.5
2002-03,6.5
2002-04,6.5
2002-05,6.5
2002-06,6.5
2002-07,6.5
2002-08,6.5
2002-09,6.5
2002-10,6.5
2002-11,6.25
2002-12,6.25
2003-01,6.25
2003-02,6.25
2003-03,6.25
2003-04,6.25
2003-05,6.0
2003-06,6.0
2003-07,6.0
2003-08,6.0
2003-09,6.0
2003-10,6.0
2003-11,6.0
2003-12,6.0
2004-01,6.0
2004-02,6.0
2004-03,6.0
2004-04,6.0
2004-05,6.0
2004-06,6.0
2004-07,6.0
2004-08,6.0
2004-09,6.0
2004-10,6.0
2004-11,6.0
2004-12,6.0
2005-01,6.0
2005-02,6.0
2005-03,6.0
2005-04,6.0
2005-05,6.0
2005-06,6.0
2005-07,6.0
2005-08,6.0
2005-09,6.0
2005-10,6.0
2005-11,6.0
2005-12,6.0
2006-01,6.0
2006-02,6.0
2006-03,6.0
2006-04,6.0
2006-05,6.0
2006-06,6.0
2006-07,6.0
2006-08,6.0
2006-09,6.0
2006-10,6.0
2006-11,6.0
2006-12,6.0
2007-01,6.0
2007-02,6.0
2007-03,6.0
2007-04,6.0
2007-05,6.0
2007-06,6.0
2007-07,6.0
2007-08,6.0
2007-09,6.0
2007-10,6.0
2007-11,6.0
2007-12,6.0
2008-01,6.0
2008-02,6.0
2008-03,6.0
2008-04,6.0
2008-05,6.0
2008-06,6.0
2008-07,6.0
2008-08,6.0
2008-09,6.0
2008-10,6.0
2008-11,6.0
2008-12,6.0
2009-01,6.0
2009-02,6.0
2009-03,6.0
2009-04,6.0
2009-05,6.0
2009-06,6.0
2009-07,6.0
2009-08,6.0
2009-09,6.0
2009-10,6.0
2009-11,6.0
2009-12,6.0
2010-01,6.0
2010-02,6.0
2010-03,6.0
2010-04,6.0
2010-05,6.0
2010-06,6.0
2010-07,6.0
2010-08,6.0
2010-09,6.0
2010-10,6.0
2010-11,6.0
2010-12,6.0
