month,disputed_mn,disputes_accepted_mn,disputes_rejected_mn,accepted_per_100k_txns,value_accepted_brl_bn,value_returned_full_brl_bn,value_returned_part_brl_bn,returned_pct
2022-01,0.0715,0.0578,0.0137,5.284,0.1226,0.0043,0.0022,5.29
2022-02,0.0786,0.0607,0.018,5.22,0.136,0.0054,0.0028,5.99
2022-03,0.135,0.105,0.0299,7.708,0.2169,0.011,0.006,7.84
2022-04,0.1526,0.1148,0.0379,8.082,0.1782,0.0085,0.0036,6.78
2022-05,0.2294,0.149,0.0804,9.46,0.2249,0.0082,0.0042,5.49
2022-06,0.1902,0.1465,0.0437,8.969,0.2237,0.015,0.0045,8.72
2022-07,0.1861,0.1425,0.0436,8.143,0.2137,0.0098,0.0044,6.62
2022-08,0.2181,0.155,0.0631,8.339,0.2339,0.0108,0.0049,6.69
2022-09,0.1964,0.1377,0.0586,7.167,0.2208,0.0128,0.0065,8.74
2022-10,0.1994,0.1471,0.0523,7.18,0.2322,0.0155,0.0067,9.56
2022-11,0.2157,0.1552,0.0605,7.376,0.244,0.0137,0.0066,8.3
2022-12,0.2722,0.1846,0.0876,7.618,0.7776,0.0146,0.0077,2.86
2023-01,0.2089,0.1407,0.0682,6.446,0.2547,0.0126,0.0072,7.79
2023-02,0.2105,0.1411,0.0694,6.552,0.2489,0.0146,0.0099,9.84
2023-03,0.2787,0.1857,0.093,7.292,0.3228,0.0179,0.01,8.67
2023-04,0.2728,0.1798,0.093,7.139,0.3403,0.0171,0.0136,9.03
2023-05,0.3718,0.2614,0.1104,9.475,0.4219,0.0291,0.01,9.28
2023-06,0.343,0.2017,0.1413,7.058,0.3197,0.0199,0.01,9.34
2023-07,0.4034,0.2305,0.173,7.488,0.3433,0.0195,0.0096,8.48
2023-08,0.4177,0.2326,0.1851,7.095,0.4104,0.0215,0.0111,7.92
2023-09,0.4167,0.2208,0.1958,6.59,0.3876,0.0212,0.0104,8.16
2023-10,0.4779,0.2444,0.2336,6.874,0.4558,0.0259,0.0155,9.08
2023-11,0.5034,0.2381,0.2653,6.425,0.4423,0.0359,0.0117,10.76
2023-12,0.6507,0.2973,0.3534,7.057,0.4059,0.028,0.0085,8.99
2024-01,0.7956,0.3467,0.4489,9.004,0.4741,0.0273,0.0126,8.42
2024-02,0.6841,0.2867,0.3974,7.452,0.4208,0.0203,0.0109,7.41
2024-03,0.7576,0.3236,0.4339,7.487,0.5525,0.0294,0.0157,8.15
2024-04,0.7802,0.3309,0.4494,7.615,0.4517,0.0231,0.0106,7.48
2024-05,0.8417,0.3464,0.4953,7.496,0.5373,0.0291,0.0184,8.83
2024-06,0.9245,0.3784,0.5461,8.124,0.4584,0.0267,0.0127,8.58
2024-07,1.1763,0.5308,0.6455,11.088,0.5702,0.0291,0.0145,7.65
2024-08,1.1467,0.5179,0.6288,10.339,0.842,0.0514,0.0318,9.88
2024-09,1.1596,0.4796,0.6799,9.799,0.5816,0.0286,0.0127,7.11
2024-10,1.263,0.4947,0.7683,9.707,0.6286,0.0399,0.015,8.74
2024-11,1.4087,0.4921,0.9167,9.515,0.6287,0.0245,0.0155,6.37
2024-12,1.357,0.3845,0.9725,6.734,0.5412,0.0278,0.0151,7.91
2025-01,1.3434,0.3698,0.9735,7.308,0.5434,0.0288,0.0372,12.16
2025-02,1.1018,0.3526,0.7492,7.073,0.6617,0.0207,0.0123,4.98
2025-03,1.2376,0.3472,0.8904,6.239,0.5642,0.0185,0.0102,5.1
2025-04,1.3937,0.3725,1.0212,6.654,0.6035,0.0464,0.0211,11.18
2025-05,1.3612,0.309,1.0522,5.21,0.4859,0.0388,0.0157,11.23
2025-06,1.2588,0.2937,0.9651,5.065,0.6714,0.0345,0.0189,7.95
2025-07,1.3281,0.326,1.0022,5.435,0.6986,0.0404,0.0289,9.92
2025-08,1.2337,0.2854,0.9484,4.573,0.7277,0.0616,0.0265,12.1
2025-09,1.2432,0.2987,0.9445,4.87,0.6106,0.0345,0.0165,8.35
2025-10,3.4558,0.3678,3.088,5.7,0.7695,0.0451,0.0255,9.18
2025-11,3.505,0.2886,3.2164,4.467,0.8599,0.0391,0.0198,6.84
2025-12,3.7717,0.3225,3.4491,4.544,0.5739,0.0369,0.0181,9.6
2026-01,3.1812,0.279,2.9022,4.385,0.723,0.0661,0.0453,15.4
2026-02,2.8137,0.2816,2.5321,4.704,0.6558,0.0583,0.029,13.31
2026-03,2.9251,0.3088,2.6163,4.58,0.7054,0.0657,0.0274,13.19
2026-04,2.9603,0.283,2.6772,4.236,0.5983,0.0746,0.0224,16.23
