month,initiation,initiation_label,volume_mn,p2b_volume_share
2020-11,Nao disponivel,Not disclosed,1.5497,1.0
2020-12,Nao disponivel,Not disclosed,7.9585,1.0
2021-01,Nao disponivel,Not disclosed,14.1345,1.0
2021-02,Nao disponivel,Not disclosed,21.164,0.999855
2021-02,Nao informado,Not reported,0.0031,0.000145
2021-03,Nao disponivel,Not disclosed,35.0556,1.0
2021-04,Nao disponivel,Not disclosed,47.6302,1.0
2021-05,Nao disponivel,Not disclosed,64.7085,1.0
2021-06,DICT,Pix key,6.0693,0.076812
2021-06,MANU,Manual entry,0.8125,0.010283
2021-06,Nao disponivel,Not disclosed,68.5789,0.867932
2021-06,QRDN,Dynamic QR,2.4435,0.030925
2021-06,QRES,Static QR,1.11,0.014047
2021-07,DICT,Pix key,56.8315,0.570658
2021-07,MANU,Manual entry,7.5434,0.075745
2021-07,Nao disponivel,Not disclosed,0.0244,0.000245
2021-07,Nao informado,Not reported,0.0059,5.9e-05
2021-07,QRDN,Dynamic QR,24.3815,0.24482
2021-07,QRES,Static QR,10.8028,0.108473
2021-08,DICT,Pix key,64.0518,0.540325
2021-08,MANU,Manual entry,8.7456,0.073775
2021-08,Nao disponivel,Not disclosed,0.0342,0.000288
2021-08,QRDN,Dynamic QR,33.1467,0.279617
2021-08,QRES,Static QR,12.5648,0.105994
2021-09,DICT,Pix key,69.2195,0.522432
2021-09,MANU,Manual entry,9.5771,0.072283
2021-09,Nao disponivel,Not disclosed,0.0372,0.000281
2021-09,QRDN,Dynamic QR,40.7168,0.307309
2021-09,QRES,Static QR,12.9442,0.097696
2021-10,DICT,Pix key,76.5591,0.501332
2021-10,MANU,Manual entry,10.9526,0.071721
2021-10,Nao disponivel,Not disclosed,0.0401,0.000262
2021-10,QRDN,Dynamic QR,49.5679,0.324586
2021-10,QRES,Static QR,15.5918,0.1021
2021-11,DICT,Pix key,81.3448,0.474547
2021-11,MANU,Manual entry,12.0801,0.070473
2021-11,Nao disponivel,Not disclosed,0.047,0.000274
2021-11,QRDN,Dynamic QR,59.7206,0.348397
2021-11,QRES,Static QR,18.223,0.106309
2021-12,DICT,Pix key,95.9916,0.474136
2021-12,MANU,Manual entry,13.9352,0.068831
2021-12,Nao disponivel,Not disclosed,0.0517,0.000255
2021-12,QRDN,Dynamic QR,70.5229,0.348337
2021-12,QRES,Static QR,21.9546,0.108441
2022-01,DICT,Pix key,85.0593,0.436654
2022-01,MANU,Manual entry,12.8606,0.06602
2022-01,Nao disponivel,Not disclosed,0.0509,0.000261
2022-01,QRDN,Dynamic QR,76.0235,0.390269
2022-01,QRES,Static QR,20.8033,0.106795
2022-02,DICT,Pix key,89.4744,0.433098
2022-02,MANU,Manual entry,13.7894,0.066747
2022-02,Nao disponivel,Not disclosed,0.058,0.000281
2022-02,QRDN,Dynamic QR,81.6219,0.395088
2022-02,QRES,Static QR,21.6479,0.104786
2022-03,DICT,Pix key,104.5874,0.418171
2022-03,INIC,Payment initiator (open finance),0.0,0.0
2022-03,MANU,Manual entry,16.298,0.065164
2022-03,Nao disponivel,Not disclosed,0.0651,0.00026
2022-03,QRDN,Dynamic QR,102.9576,0.411654
2022-03,QRES,Static QR,26.1989,0.104751
2022-04,DICT,Pix key,105.8802,0.394092
2022-04,INIC,Payment initiator (open finance),0.0,0.0
2022-04,MANU,Manual entry,16.6858,0.062105
2022-04,Nao disponivel,Not disclosed,0.0549,0.000204
2022-04,QRDN,Dynamic QR,117.6206,0.43779
2022-04,QRES,Static QR,28.4274,0.105808
2022-05,DICT,Pix key,118.2328,0.382065
2022-05,INIC,Payment initiator (open finance),0.0001,0.0
2022-05,MANU,Manual entry,18.8477,0.060906
2022-05,Nao disponivel,Not disclosed,0.0736,0.000238
2022-05,QRDN,Dynamic QR,138.6736,0.448118
2022-05,QRES,Static QR,33.6298,0.108673
2022-06,DICT,Pix key,119.4026,0.355312
2022-06,INIC,Payment initiator (open finance),0.0003,1e-06
2022-06,MANU,Manual entry,19.298,0.057426
2022-06,Nao disponivel,Not disclosed,0.0786,0.000234
2022-06,QRDN,Dynamic QR,160.3921,0.477287
2022-06,QRES,Static QR,36.8782,0.10974
2022-07,DICT,Pix key,125.0918,0.338843
2022-07,INIC,Payment initiator (open finance),0.0002,1e-06
2022-07,MANU,Manual entry,19.6491,0.053225
2022-07,Nao disponivel,Not disclosed,0.083,0.000225
2022-07,QRDN,Dynamic QR,181.7405,0.49229
2022-07,QRES,Static QR,42.609,0.115417
2022-08,DICT,Pix key,132.454,0.325117
2022-08,INIC,Payment initiator (open finance),0.0003,1e-06
2022-08,MANU,Manual entry,21.4989,0.05277
2022-08,Nao disponivel,Not disclosed,0.0876,0.000215
2022-08,QRDN,Dynamic QR,197.6942,0.485254
2022-08,QRES,Static QR,55.6686,0.136642
2022-09,DICT,Pix key,131.1202,0.304714
2022-09,INIC,Payment initiator (open finance),0.0006,1e-06
2022-09,MANU,Manual entry,21.4526,0.049854
2022-09,Nao disponivel,Not disclosed,0.0925,0.000215
2022-09,QRDN,Dynamic QR,215.5789,0.50099
2022-09,QRES,Static QR,62.0614,0.144226
2022-10,DICT,Pix key,135.8579,0.287629
2022-10,INIC,Payment initiator (open finance),0.0007,1e-06
2022-10,MANU,Manual entry,22.4882,0.04761
2022-10,Nao disponivel,Not disclosed,0.0984,0.000208
2022-10,QRDN,Dynamic QR,245.2401,0.519206
2022-10,QRES,Static QR,68.6518,0.145345
2022-11,DICT,Pix key,136.1704,0.269459
2022-11,INIC,Payment initiator (open finance),0.0007,1e-06
2022-11,MANU,Manual entry,23.2649,0.046037
2022-11,Nao disponivel,Not disclosed,0.1019,0.000202
2022-11,QRDN,Dynamic QR,271.4454,0.537147
2022-11,QRES,Static QR,74.3636,0.147154
2022-12,DICT,Pix key,157.2686,0.267523
2022-12,INIC,Payment initiator (open finance),0.0009,2e-06
2022-12,MANU,Manual entry,22.4032,0.038109
2022-12,Nao disponivel,Not disclosed,0.1176,0.0002
2022-12,QRDN,Dynamic QR,319.3213,0.543184
2022-12,QRES,Static QR,88.7579,0.150982
2023-01,DICT,Pix key,137.1998,0.242788
2023-01,INIC,Payment initiator (open finance),0.0012,2e-06
2023-01,MANU,Manual entry,19.3509,0.034243
2023-01,Nao disponivel,Not disclosed,0.108,0.000191
2023-01,QRDN,Dynamic QR,327.0433,0.578734
2023-01,QRES,Static QR,81.3984,0.144042
2023-02,DICT,Pix key,130.1499,0.231698
2023-02,INIC,Payment initiator (open finance),0.0015,3e-06
2023-02,MANU,Manual entry,19.743,0.035147
2023-02,Nao disponivel,Not disclosed,0.1008,0.000179
2023-02,QRDN,Dynamic QR,334.1106,0.594798
2023-02,QRES,Static QR,77.6156,0.138175
2023-03,DICT,Pix key,154.319,0.225694
2023-03,INIC,Payment initiator (open finance),0.002,3e-06
2023-03,MANU,Manual entry,24.186,0.035372
2023-03,Nao disponivel,Not disclosed,0.1259,0.000184
2023-03,QRDN,Dynamic QR,414.2446,0.605839
2023-03,QRES,Static QR,90.8764,0.132908
2023-04,DICT,Pix key,142.8304,0.202659
2023-04,INIC,Payment initiator (open finance),0.0017,2e-06
2023-04,MANU,Manual entry,22.1127,0.031375
2023-04,Nao disponivel,Not disclosed,0.1212,0.000172
2023-04,QRDN,Dynamic QR,447.3035,0.634669
2023-04,QRES,Static QR,92.413,0.131123
2023-05,DICT,Pix key,155.9706,0.195079
2023-05,INIC,Payment initiator (open finance),0.0004,1e-06
2023-05,MANU,Manual entry,24.386,0.030501
2023-05,Nao disponivel,Not disclosed,0.1289,0.000161
2023-05,QRDN,Dynamic QR,509.9257,0.637785
2023-05,QRES,Static QR,109.1139,0.136473
2023-06,DICT,Pix key,155.7524,0.182557
2023-06,INIC,Payment initiator (open finance),0.0003,0.0
2023-06,MANU,Manual entry,24.5875,0.028819
