month,leg,volume_mn,value_brl_bn,volume_share,value_share
2020-11,B2B,0.637,9.855,0.02158,0.380963
2020-11,B2G,0.0,0.001,1.2e-05,4.5e-05
2020-11,B2P,1.655,2.489,0.056057,0.096205
2020-11,G2B,0.001,0.006,3e-05,0.000233
2020-11,G2G,0.0,0.022,9e-06,0.000841
2020-11,G2P,0.001,0.001,2.1e-05,3.1e-05
2020-11,P2B,1.55,1.44,0.052487,0.055652
2020-11,P2G,0.002,0.001,7e-05,5.1e-05
2020-11,P2P,25.679,12.055,0.869734,0.46598
2020-12,B2B,2.799,39.831,0.022414,0.371553
2020-12,B2G,0.002,0.018,1.5e-05,0.00017
2020-12,B2P,8.158,12.027,0.065322,0.112195
2020-12,G2B,0.006,0.055,4.5e-05,0.000515
2020-12,G2G,0.001,0.157,1e-05,0.001467
2020-12,G2P,0.003,0.006,2.7e-05,5.5e-05
2020-12,P2B,7.959,6.285,0.063724,0.058626
2020-12,P2G,0.011,0.007,9e-05,6.1e-05
2020-12,P2P,105.952,48.815,0.848353,0.455359
2021-01,B2B,4.401,49.04,0.025927,0.355571
2021-01,B2G,0.004,0.019,2.4e-05,0.000141
2021-01,B2P,12.28,15.645,0.072335,0.113433
2021-01,G2B,0.003,0.037,1.7e-05,0.000265
2021-01,G2G,0.001,0.461,7e-06,0.003345
2021-01,G2P,0.009,0.005,5.2e-05,3.5e-05
2021-01,P2B,14.135,10.723,0.083259,0.077749
2021-01,P2G,0.036,0.014,0.000209,0.000104
2021-01,P2P,138.897,61.975,0.818169,0.449356
2021-02,B2B,6.171,57.691,0.026898,0.340151
2021-02,B2G,0.007,0.031,2.9e-05,0.000182
2021-02,B2P,20.6,20.662,0.089791,0.121824
2021-02,G2B,0.008,0.057,3.6e-05,0.000338
2021-02,G2G,0.002,0.588,1e-05,0.003467
2021-02,G2P,0.006,0.009,2.6e-05,5.1e-05
2021-02,P2B,21.167,14.539,0.092264,0.085725
2021-02,P2G,0.053,0.022,0.000233,0.000132
2021-02,P2P,181.404,76.005,0.790714,0.44813
2021-03,B2B,9.248,85.7,0.028156,0.359569
2021-03,B2G,0.014,0.04,4.3e-05,0.000168
2021-03,B2P,30.707,28.385,0.093487,0.119095
2021-03,G2B,0.02,0.152,6.1e-05,0.000636
