year,quarter,period,registered_users,registered_merchants
2018,1,2018Q1,47483331,13116
2018,2,2018Q2,64487449,28401
2018,3,2018Q3,80451695,185378
2018,4,2018Q4,103041018,866328
2019,1,2019Q1,124474095,2911661
2019,2,2019Q2,142792343,5273186
2019,3,2019Q3,161077774,7174622
2019,4,2019Q4,179919543,8730394
2020,1,2020Q1,199439769,10191200
2020,2,2020Q2,220938543,10814817
2020,3,2020Q3,243215163,12747549
2020,4,2020Q4,266217911,15655589
2021,1,2021Q1,287013158,18606666
2021,2,2021Q2,306887085,20165241
2021,3,2021Q3,329261090,22890624
2021,4,2021Q4,351735253,25772309
2022,1,2022Q1,373458895,28969860
2022,2,2022Q2,393808126,31234187
2022,3,2022Q3,415288831,33142892
2022,4,2022Q4,435986267,34914715
2023,1,2023Q1,455409990,34943184
2023,2,2023Q2,473707081,35719392
2023,3,2023Q3,493224570,36887945
2023,4,2023Q4,512970015,38058561
2024,1,2024Q1,534970739,39484149
2024,2,2024Q2,556801420,40872218
2024,3,2024Q3,578589126,42251032
2024,4,2024Q4,598686585,43635883
2025,1,2025Q1,618397806,44874862
2025,2,2025Q2,637393317,46011340
2025,3,2025Q3,657562800,47192762
2025,4,2025Q4,676844921,48650084
2026,1,2026Q1,694567756,49642630
2026,2,2026Q2,711653262,50705249
