year,quarter,period,state,count,amount_inr,avg_ticket_inr
2018,1,2018Q1,andaman & nicobar islands,9089,18569126.204451818,2043.0329194027745
2018,1,2018Q1,andhra pradesh,10862829,14001071206.72507,1288.8973219338232
2018,1,2018Q1,arunachal pradesh,56572,112009706.82247925,1979.949565553264
2018,1,2018Q1,assam,1295882,1391575090.9188318,1073.8439849606923
2018,1,2018Q1,bihar,7267806,7318769108.557262,1007.0121723883744
2018,1,2018Q1,chandigarh,223975,393507115.84811443,1756.924281049735
2018,1,2018Q1,chhattisgarh,2308574,2600414470.835706,1126.4159047254739
2018,1,2018Q1,dadra & nagar haveli & daman & diu,175749,203738508.32623297,1159.2584215343072
2018,1,2018Q1,delhi,4861388,8271371793.392628,1701.442426194459
2018,1,2018Q1,goa,183383,349066357.90028584,1903.4826450668047
2018,1,2018Q1,gujarat,6635512,8197590210.3636875,1235.4118582505296
2018,1,2018Q1,haryana,5044397,7580699902.527901,1502.796053230525
2018,1,2018Q1,himachal pradesh,532148,653574896.6591835,1228.1825669911068
2018,1,2018Q1,jammu & kashmir,656163,592623090.2033798,903.1644426817418
2018,1,2018Q1,jharkhand,2678000,2859566816.5828524,1067.799408731461
2018,1,2018Q1,karnataka,11259403,17637623160.251854,1566.4794270399464
2018,1,2018Q1,kerala,1825372,2419982815.1613374,1325.7477463012128
2018,1,2018Q1,ladakh,7733,15241000.350078736,1970.9039635430927
2018,1,2018Q1,lakshadweep,1124,3053772.2105995324,2716.8791909248507
2018,1,2018Q1,madhya pradesh,8614129,9240858109.528643,1072.755946599899
2018,1,2018Q1,maharashtra,15771297,20616284599.60267,1307.2028635059417
2018,1,2018Q1,manipur,104908,152517177.2974037,1453.8183674972709
2018,1,2018Q1,meghalaya,57738,76092836.20456234,1317.8987184274192
2018,1,2018Q1,mizoram,22181,53160735.45542757,2396.6789349185146
2018,1,2018Q1,nagaland,52459,93045812.18725257,1773.686349096486
2018,1,2018Q1,odisha,7048986,5532172856.319677,784.8182499326396
2018,1,2018Q1,puducherry,106212,167573456.07454073,1577.7262086632466
2018,1,2018Q1,punjab,2152570,3144283659.55326,1460.7114563304608
2018,1,2018Q1,rajasthan,9272437,10593171156.518475,1142.4365737419919
