period,state,category,count,amount_inr,avg_ticket_inr
2026Q2,andaman & nicobar islands,P2P,2318395,6919716967.907633,2984.70147145229
2026Q2,andaman & nicobar islands,Retail,4915599,3057475220.283496,621.9944345101169
2026Q2,andaman & nicobar islands,Utility,519101,465102854.636179,895.9775739907628
2026Q2,andhra pradesh,P2P,1109707075,3493292328363.7217,3147.9409360021623
2026Q2,andhra pradesh,Retail,1978617733,874378874522.2871,441.9139988180259
2026Q2,andhra pradesh,Utility,157632055,256026172035.94608,1624.2011945853658
2026Q2,arunachal pradesh,P2P,13494356,32170896129.349693,2384.026042395035
2026Q2,arunachal pradesh,Retail,24690742,13992245529.04863,566.7000825268285
2026Q2,arunachal pradesh,Utility,2447416,1331805822.9586844,544.1681442626364
2026Q2,assam,P2P,196477566,365913888391.6631,1862.3698157562837
2026Q2,assam,Retail,314710936,129968718141.15704,412.97808011716836
2026Q2,assam,Utility,37936564,23813472820.048767,627.7182303607877
2026Q2,bihar,P2P,879874401,1942426119648.5984,2207.617493406992
2026Q2,bihar,Retail,1295213536,614969202086.779,474.80140146310134
2026Q2,bihar,Utility,113963936,120745993670.78491,1059.5105601721664
2026Q2,chandigarh,P2P,6189470,15289686888.9889,2470.27401198954
2026Q2,chandigarh,Retail,17838348,8132749166.987701,455.9138081053078
2026Q2,chandigarh,Utility,1109237,1810855672.715648,1632.523683140436
2026Q2,chhattisgarh,P2P,199041865,449961160989.97925,2260.6357762472694
2026Q2,chhattisgarh,Retail,402505854,191348370115.37585,475.3927631456904
2026Q2,chhattisgarh,Utility,44653852,37091821355.91428,830.6522213562737
2026Q2,dadra & nagar haveli & daman & diu,P2P,8616843,17760169467.527782,2061.0993454943746
2026Q2,dadra & nagar haveli & daman & diu,Retail,22891864,7135173536.138385,311.6903689510992
2026Q2,dadra & nagar haveli & daman & diu,Utility,1527516,1657169648.0755792,1084.878749601038
2026Q2,delhi,P2P,306838191,788970305372.6831,2571.2910860326483
2026Q2,delhi,Retail,802878308,297272270584.85706,370.2581918365355
2026Q2,delhi,Utility,62188327,90318390519.361,1452.3367145631846
2026Q2,goa,P2P,14983673,45463068165.06054,3034.1738080549767
2026Q2,goa,Retail,37488228,20474518612.544815,546.1586131130235
2026Q2,goa,Utility,2736896,3152221526.6400623,1151.750569491885
2026Q2,gujarat,P2P,330324037,875847066384.0886,2651.4784523055723
2026Q2,gujarat,Retail,757197417,330648008438.8225,436.67345003479124
2026Q2,gujarat,Utility,70381232,91193812865.43333,1295.7120850830422
2026Q2,haryana,P2P,302949383,851905761320.7651,2812.039928534085
2026Q2,haryana,Retail,768184781,317501866545.9623,413.31444516858016
2026Q2,haryana,Utility,59580774,94101050589.26193,1579.386172278694
2026Q2,himachal pradesh,P2P,21564394,53132098062.76816,2463.88087987857
2026Q2,himachal pradesh,Retail,47984389,24236863923.83679,505.0989379866187
2026Q2,himachal pradesh,Utility,5304226,4699185083.220638,885.9322893143388
2026Q2,jammu & kashmir,P2P,55206052,136514820551.84973,2472.823460584534
2026Q2,jammu & kashmir,Retail,117475120,56421934928.14691,480.28837874902285
2026Q2,jammu & kashmir,Utility,15060953,10091624645.520313,670.0521969307197
2026Q2,jharkhand,P2P,274010191,639889155309.756,2335.2750238028775
2026Q2,jharkhand,Retail,498662306,226807152906.54874,454.83115562889316
2026Q2,jharkhand,Utility,42637464,42276384216.81342,991.5313963516551
2026Q2,karnataka,P2P,1250633746,3780873849393.4824,3023.1663438525848
2026Q2,karnataka,Retail,3033113369,1240271500893.2163,408.9103670075236
2026Q2,karnataka,Utility,207964808,271195872467.55438,1304.0469446520701
2026Q2,kerala,P2P,82527448,216436499434.24576,2622.60017339014
2026Q2,kerala,Retail,191946358,97286373064.12253,506.8414638225255
2026Q2,kerala,Utility,20176010,21778619728.887638,1079.4314499689303
2026Q2,ladakh,P2P,3331223,11206998816.681328,3364.2295387253653
2026Q2,ladakh,Retail,5270609,3551684896.1172237,673.8661312416125
2026Q2,ladakh,Utility,655593,701603489.3841361,1070.181483609703
2026Q2,lakshadweep,P2P,101796,259453266.16378194,2548.7569861662732
2026Q2,lakshadweep,Retail,248709,94144139.47207405,378.5312934878675
2026Q2,lakshadweep,Utility,20691,16980108.095038954,820.651882221205
2026Q2,madhya pradesh,P2P,692355802,1816270501215.9336,2623.3195359514493
2026Q2,madhya pradesh,Retail,1456576342,598148260036.9344,410.6535598509223
2026Q2,madhya pradesh,Utility,134905941,153957311924.0763,1141.2196585477009
2026Q2,maharashtra,P2P,1389123843,3876458808788.0957,2790.5782686850735
2026Q2,maharashtra,Retail,3413003601,1300349527402.3584,380.9985805527307
2026Q2,maharashtra,Utility,262324547,288368216966.1335,1099.2803390455622
2026Q2,manipur,P2P,5042151,13303508278.268917,2638.458919272532
2026Q2,manipur,Retail,4552091,3030830762.1624036,665.8106707801763
2026Q2,manipur,Utility,865449,644820199.395371,745.0701305280508
2026Q2,meghalaya,P2P,9973916,17600789826.168114,1764.6819790910724
2026Q2,meghalaya,Retail,10836114,5720028376.281585,527.8671280388509
2026Q2,meghalaya,Utility,1590783,1012892306.1801142,636.7256289387768
2026Q2,mizoram,P2P,2067137,4658296203.56402,2253.501438735807
2026Q2,mizoram,Retail,2231778,1222652962.4773166,547.8380746101614
2026Q2,mizoram,Utility,331711,197070347.22302598,594.1025387250528
2026Q2,nagaland,P2P,5388614,12075582731.657005,2240.9440965073773
2026Q2,nagaland,Retail,6083226,3742442924.3336344,615.2069517610614
2026Q2,nagaland,Utility,886486,553278648.89936,624.1256476688408
2026Q2,odisha,P2P,507336215,1199263266291.0273,2363.843208573288
2026Q2,odisha,Retail,932756499,382712112055.28827,410.3022733860236
2026Q2,odisha,Utility,83037296,84336761052.10901,1015.6491735004113
2026Q2,puducherry,P2P,5456184,15713366972.603334,2879.9188173645416
2026Q2,puducherry,Retail,14273998,6564405219.616926,459.88553589659506
2026Q2,puducherry,Utility,941727,1629907939.4616244,1730.7647964448554
2026Q2,punjab,P2P,86235320,244675165175.23608,2837.2964253537425
2026Q2,punjab,Retail,176968809,98137725177.93954,554.5481473966383
2026Q2,punjab,Utility,19159944,26816844333.664066,1399.63062176299
2026Q2,rajasthan,P2P,762303898,2258793597210.0557,2963.1143211208605
2026Q2,rajasthan,Retail,1639275785,737008735503.4113,449.5941087200353
2026Q2,rajasthan,Utility,151848846,193710479556.99695,1275.6796291820153
2026Q2,sikkim,P2P,5266430,11879485154.353392,2255.6998107547984
2026Q2,sikkim,Retail,8719037,5639655887.7434435,646.8209605881295
2026Q2,sikkim,Utility,970777,735492408.3597246,757.6327090152781
2026Q2,tamil nadu,P2P,318715551,937916167838.1294,2942.8001391690154
2026Q2,tamil nadu,Retail,667642639,284788943434.0261,426.558950549631
2026Q2,tamil nadu,Utility,62934777,93999283994.46033,1493.5984280115956
2026Q2,telangana,P2P,1143923545,3802953114082.1084,3324.481894532653
2026Q2,telangana,Retail,2560637907,1012378680044.0645,395.3619046552936
2026Q2,telangana,Utility,173670988,312713949965.91516,1800.611337374986
2026Q2,tripura,P2P,7972133,17723168398.892212,2223.1400804392265
2026Q2,tripura,Retail,12958118,7413864418.371696,572.140523675714
2026Q2,tripura,Utility,1932743,1606077513.4726696,830.9834848568431
2026Q2,uttar pradesh,P2P,1167703027,2690239782810.8555,2303.873262812785
2026Q2,uttar pradesh,Retail,2293024606,1005488472749.8022,438.49877149979534
2026Q2,uttar pradesh,Utility,204578607,242977206013.3307,1187.6960625376175
2026Q2,uttarakhand,P2P,69429535,167693683641.83484,2415.3076013231953
2026Q2,uttarakhand,Retail,163964261,71763489371.60446,437.6776312955447
2026Q2,uttarakhand,Utility,13632986,15777429763.077404,1157.2981710006454
2026Q2,west bengal,P2P,653298215,1577573871700.4841,2414.7836860391303
2026Q2,west bengal,Retail,1005841996,502117923105.22217,499.2015894166564
2026Q2,west bengal,Utility,123212798,132146318894.60046,1072.504813133133
