month,instrument,channel,volume,value_inr,source_url,accessed,avg_ticket_inr
2026-05,credit_card,ecom,296723746,1261795644000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,4252.0
2026-05,credit_card,other,8414225,4673773000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,555.0
2026-05,credit_card,pos,290363554,760951304000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,2621.0
2026-05,debit_card,ecom,26007412,130497685000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,5018.0
2026-05,debit_card,other,75310,1835861000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,24377.0
2026-05,debit_card,pos,73778865,221870862000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,3007.0
2026-06,credit_card,ecom,292076805,1269994646000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,4348.0
2026-06,credit_card,other,3617787,1001415000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,277.0
2026-06,credit_card,pos,285564493,742620678000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,2601.0
2026-06,debit_card,ecom,25759460,133982406000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,5201.0
2026-06,debit_card,other,77244,2084696000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,26988.0
2026-06,debit_card,pos,71256313,216918581000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,3044.0
2026-07,credit_card,ecom,307698073,1323389557000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,4301.0
2026-07,credit_card,other,3834990,1063731000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,277.0
2026-07,credit_card,pos,293733617,757403699000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,2579.0
2026-07,debit_card,ecom,27352284,155158431000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,5673.0
2026-07,debit_card,other,82338,2408071000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,29246.0
2026-07,debit_card,pos,74121309,221758107000.0,https://www.rbi.org.in/Scripts/ATMView.aspx,2026-09-10,2992.0
