respondent_id,cohort,age_band,episode,score
R0000,Neobank / payments app,30-44,Open an account,10
R0000,Neobank / payments app,30-44,Make a payment,10
R0000,Neobank / payments app,30-44,Get support,3
R0000,Neobank / payments app,30-44,Apply for credit,4
R0001,Neobank / payments app,18-29,Open an account,10
R0001,Neobank / payments app,18-29,Make a payment,6
R0001,Neobank / payments app,18-29,Get support,5
R0001,Neobank / payments app,18-29,Apply for credit,7
R0002,Private bank,30-44,Open an account,7
R0002,Private bank,30-44,Make a payment,7
R0002,Private bank,30-44,Get support,7
R0002,Private bank,30-44,Apply for credit,10
R0003,Private bank,60+,Open an account,3
R0003,Private bank,60+,Make a payment,9
R0003,Private bank,60+,Get support,4
R0003,Private bank,60+,Apply for credit,2
R0004,Neobank / payments app,30-44,Open an account,10
R0004,Neobank / payments app,30-44,Make a payment,10
R0004,Neobank / payments app,30-44,Get support,6
R0004,Neobank / payments app,30-44,Apply for credit,3
R0005,Neobank / payments app,18-29,Open an account,10
R0005,Neobank / payments app,18-29,Make a payment,8
R0005,Neobank / payments app,18-29,Get support,3
R0005,Neobank / payments app,18-29,Apply for credit,8
R0006,Private bank,60+,Open an account,5
R0006,Private bank,60+,Make a payment,8
R0006,Private bank,60+,Get support,8
R0006,Private bank,60+,Apply for credit,8
R0007,Neobank / payments app,45-59,Open an account,7
R0007,Neobank / payments app,45-59,Make a payment,8
R0007,Neobank / payments app,45-59,Get support,10
R0007,Neobank / payments app,45-59,Apply for credit,6
R0008,Neobank / payments app,18-29,Open an account,4
R0008,Neobank / payments app,18-29,Make a payment,8
R0008,Neobank / payments app,18-29,Get support,7
R0008,Neobank / payments app,18-29,Apply for credit,6
R0009,Neobank / payments app,45-59,Open an account,10
R0009,Neobank / payments app,45-59,Make a payment,6
R0009,Neobank / payments app,45-59,Get support,3
R0009,Neobank / payments app,45-59,Apply for credit,5
R0010,Private bank,45-59,Open an account,3
R0010,Private bank,45-59,Make a payment,8
R0010,Private bank,45-59,Get support,9
R0010,Private bank,45-59,Apply for credit,8
R0011,Neobank / payments app,18-29,Open an account,5
R0011,Neobank / payments app,18-29,Make a payment,9
R0011,Neobank / payments app,18-29,Get support,8
R0011,Neobank / payments app,18-29,Apply for credit,8
R0012,Private bank,30-44,Open an account,6
R0012,Private bank,30-44,Make a payment,8
R0012,Private bank,30-44,Get support,8
R0012,Private bank,30-44,Apply for credit,9
R0013,Private bank,18-29,Open an account,8
R0013,Private bank,18-29,Make a payment,4
R0013,Private bank,18-29,Get support,8
R0013,Private bank,18-29,Apply for credit,4
R0014,Public bank,30-44,Open an account,4
R0014,Public bank,30-44,Make a payment,8
R0014,Public bank,30-44,Get support,6
R0014,Public bank,30-44,Apply for credit,8
R0015,Neobank / payments app,45-59,Open an account,9
R0015,Neobank / payments app,45-59,Make a payment,10
R0015,Neobank / payments app,45-59,Get support,7
R0015,Neobank / payments app,45-59,Apply for credit,9
R0016,Public bank,18-29,Open an account,6
R0016,Public bank,18-29,Make a payment,6
R0016,Public bank,18-29,Get support,8
R0016,Public bank,18-29,Apply for credit,8
R0017,Public bank,45-59,Open an account,7
R0017,Public bank,45-59,Make a payment,5
R0017,Public bank,45-59,Get support,7
R0017,Public bank,45-59,Apply for credit,10
R0018,Neobank / payments app,30-44,Open an account,10
R0018,Neobank / payments app,30-44,Make a payment,9
R0018,Neobank / payments app,30-44,Get support,8
R0018,Neobank / payments app,30-44,Apply for credit,8
R0019,Public bank,30-44,Open an account,5
R0019,Public bank,30-44,Make a payment,6
R0019,Public bank,30-44,Get support,10
R0019,Public bank,30-44,Apply for credit,7
R0020,Neobank / payments app,60+,Open an account,9
R0020,Neobank / payments app,60+,Make a payment,10
R0020,Neobank / payments app,60+,Get support,6
R0020,Neobank / payments app,60+,Apply for credit,8
R0021,Private bank,45-59,Open an account,7
R0021,Private bank,45-59,Make a payment,8
R0021,Private bank,45-59,Get support,8
R0021,Private bank,45-59,Apply for credit,10
R0022,Private bank,30-44,Open an account,8
R0022,Private bank,30-44,Make a payment,10
R0022,Private bank,30-44,Get support,10
R0022,Private bank,30-44,Apply for credit,7
R0023,Private bank,30-44,Open an account,6
R0023,Private bank,30-44,Make a payment,6
R0023,Private bank,30-44,Get support,10
R0023,Private bank,30-44,Apply for credit,8
R0024,Public bank,60+,Open an account,8
R0024,Public bank,60+,Make a payment,5
R0024,Public bank,60+,Get support,7
R0024,Public bank,60+,Apply for credit,7
R0025,Public bank,30-44,Open an account,6
R0025,Public bank,30-44,Make a payment,9
R0025,Public bank,30-44,Get support,3
R0025,Public bank,30-44,Apply for credit,6
R0026,Neobank / payments app,45-59,Open an account,10
R0026,Neobank / payments app,45-59,Make a payment,8
R0026,Neobank / payments app,45-59,Get support,4
R0026,Neobank / payments app,45-59,Apply for credit,6
R0027,Private bank,30-44,Open an account,7
R0027,Private bank,30-44,Make a payment,7
R0027,Private bank,30-44,Get support,5
R0027,Private bank,30-44,Apply for credit,7
R0028,Public bank,18-29,Open an account,3
R0028,Public bank,18-29,Make a payment,7
R0028,Public bank,18-29,Get support,7
R0028,Public bank,18-29,Apply for credit,7
R0029,Neobank / payments app,18-29,Open an account,8
R0029,Neobank / payments app,18-29,Make a payment,10
R0029,Neobank / payments app,18-29,Get support,6
R0029,Neobank / payments app,18-29,Apply for credit,5
R0030,Neobank / payments app,30-44,Open an account,8
R0030,Neobank / payments app,30-44,Make a payment,6
R0030,Neobank / payments app,30-44,Get support,6
R0030,Neobank / payments app,30-44,Apply for credit,10
R0031,Public bank,30-44,Open an account,7
R0031,Public bank,30-44,Make a payment,6
R0031,Public bank,30-44,Get support,9
R0031,Public bank,30-44,Apply for credit,7
R0032,Private bank,30-44,Open an account,8
R0032,Private bank,30-44,Make a payment,10
R0032,Private bank,30-44,Get support,9
R0032,Private bank,30-44,Apply for credit,8
R0033,Private bank,45-59,Open an account,6
R0033,Private bank,45-59,Make a payment,9
R0033,Private bank,45-59,Get support,6
R0033,Private bank,45-59,Apply for credit,8
R0034,Private bank,18-29,Open an account,7
R0034,Private bank,18-29,Make a payment,10
R0034,Private bank,18-29,Get support,9
R0034,Private bank,18-29,Apply for credit,8
R0035,Private bank,30-44,Open an account,9
R0035,Private bank,30-44,Make a payment,7
R0035,Private bank,30-44,Get support,4
R0035,Private bank,30-44,Apply for credit,7
R0036,Private bank,60+,Open an account,8
R0036,Private bank,60+,Make a payment,9
R0036,Private bank,60+,Get support,10
R0036,Private bank,60+,Apply for credit,6
R0037,Neobank / payments app,45-59,Open an account,7
R0037,Neobank / payments app,45-59,Make a payment,8
R0037,Neobank / payments app,45-59,Get support,9
R0037,Neobank / payments app,45-59,Apply for credit,8
R0038,Public bank,30-44,Open an account,9
R0038,Public bank,30-44,Make a payment,7
R0038,Public bank,30-44,Get support,7
R0038,Public bank,30-44,Apply for credit,8
