month,app_raw,volume_mn,value_cr,app,nat_volume_mn,nat_value_cr,volume_share,value_share,avg_ticket_inr
2023-12,PhonePe,5642.66,901006.65,PhonePe,12020.23,1822949.45,0.46943028544378934,0.4942576164138836,1596.7764316829296
2023-12,Google Pay,4375.29,629285.36,Google Pay,12020.23,1822949.45,0.3639938670058726,0.3452017608058194,1438.271200309008
2023-12,Paytm Payments Bank App,1573.61,191555.71,Paytm,12020.23,1822949.45,0.13091346837789294,0.10508009972520083,1217.3010466379853
2023-12,Cred,105.31,37293.27,CRED,12020.23,1822949.45,0.008761063640213208,0.02045765448954166,3541.2847782736676
2023-12,Axis Bank Apps,86.9,6100.01,Axis Bank apps,12020.23,1822949.45,0.007229478970036347,0.0033462310213813115,701.957422324511
2023-12,Amazon Pay,54.16,5982.84,Amazon Pay,12020.23,1822949.45,0.0045057374110145975,0.0032819560630164488,1104.6602658788775
2023-12,All other apps,53.24999999999818,13341.449999999953,All other apps,12020.23,1822949.45,0.004430031704884031,0.007318606667891945,2505.4366197183867
2023-12,ICICI Bank Apps,40.09,20884.56,ICICI Bank apps,12020.23,1822949.45,0.0033352107239212566,0.011456466881185325,5209.418807682714
2023-12,Fampay,34.23,392.53,FamApp,12020.23,1822949.45,0.0028476992536748463,0.00021532687041870524,114.67426234297399
2023-12,Yes Bank Apps,28.37,12368.87,Yes Bank apps,12020.23,1822949.45,0.0023601877834284373,0.006785086662715744,4359.841381741277
2023-12,Kotak Mahindra Bank Apps,26.36,4738.2,Kotak Mahindra Bank apps,12020.23,1822949.45,0.002192969685272245,0.0025991943989450723,1797.4962063732928
2024-06,PhonePe #,6716.09,1009064.99,PhonePe,13885.14,2007081.2,0.48368903734496016,0.5027524496766748,1502.4590051652078
2024-06,Google Pay #,5103.99,707241.27,Google Pay,13885.14,2007081.2,0.367586498947796,0.3523730230745024,1385.6635103125202
2024-06,Paytm,1104.89,120840.45,Paytm,13885.14,2007081.2,0.07957355849490895,0.06020705589788794,1093.6876069110951
2024-06,All other apps,497.35000000000036,70588.72999999975,All other apps,13885.14,2007081.2,0.03581886822891238,0.03516984265509524,1419.2968734291685
2024-06,Cred #,138.42,45720.01,CRED,13885.14,2007081.2,0.009968930813805262,0.02277935242480474,3302.9916197081347
2024-06,Axis Bank Apps,75.07,6614.04,Axis Bank apps,13885.14,2007081.2,0.005406499322297074,0.00329535247502692,881.0496869588384
2024-06,Amazon Pay #,67.07,7377.3,Amazon Pay,13885.14,2007081.2,0.0048303438064002235,0.0036756360430260622,1099.940360817057
2024-06,ICICI Bank Apps,51.65,29996.18,ICICI Bank apps,13885.14,2007081.2,0.0037198040495090437,0.014945175112994931,5807.585672797677
