year,account_ownership_pct,population,population_0_14
1960,,72388126.0,31985409.0
1961,,74605447.0,33077123.0
1962,,76865323.0,34156222.0
1963,,79164235.0,35199740.0
1964,,81488595.0,36174206.0
1965,,83817583.0,37078105.0
1966,,86139359.0,37924842.0
1967,,88446124.0,38699138.0
1968,,90741240.0,39403223.0
1969,,93045777.0,40056045.0
1970,,95375651.0,40678400.0
1971,,97739273.0,41280649.0
1972,,100146797.0,41867792.0
1973,,102600976.0,42441773.0
1974,,105089675.0,42993049.0
1975,,107619565.0,43533026.0
1976,,110213349.0,44086515.0
1977,,112875292.0,44659512.0
1978,,115600942.0,45256576.0
1979,,118380821.0,45889027.0
1980,,121207461.0,46570494.0
1981,,124063109.0,47302653.0
1982,,126923155.0,48077010.0
1983,,129790077.0,48878101.0
1984,,132658864.0,49669417.0
1985,,135515595.0,50417024.0
1986,,138336370.0,51101030.0
1987,,141104944.0,51698493.0
1988,,143826357.0,52197411.0
1989,,146502972.0,52610767.0
1990,,149143223.0,52931717.0
1991,,151724256.0,53140752.0
1992,,154275079.0,53240598.0
1993,,156794577.0,53250828.0
1994,,159265006.0,53191341.0
1995,,161735073.0,53079209.0
1996,,164202549.0,52921583.0
1997,,166661659.0,52726552.0
1998,,169159655.0,52519209.0
1999,,171641543.0,52286716.0
2000,,174018282.0,52002245.0
2001,,176301203.0,51664930.0
2002,,178503484.0,51289358.0
2003,,180622688.0,50883636.0
2004,,182675143.0,50470948.0
2005,,184688101.0,50081212.0
2006,,186653106.0,49695918.0
2007,,188552320.0,49296507.0
2008,,190367302.0,48859597.0
2009,,192079951.0,48377114.0
2010,,193701929.0,47859396.0
2011,55.860384771673,195284734.0,47315485.0
2012,,196876111.0,46756997.0
2013,,198478299.0,46185144.0
2014,68.123158518616,200085127.0,45647976.0
2015,,201675532.0,45179762.0
2016,,203218114.0,44740040.0
2017,70.0439481477435,204703445.0,44337528.0
2018,,206107261.0,44009118.0
2019,,207455459.0,43689729.0
2020,,208660842.0,43311094.0
2021,84.0357458977852,209550294.0,42896280.0
2022,,210306415.0,42487105.0
2023,,211140729.0,42092915.0
2024,86.3811782311541,211998573.0,41689815.0
2025,,212812405.0,41257135.0
