year,account_ownership_pct,account_ownership_female_pct,gdp_current_usd,population,population_0_14,npl_pct_gross_loans,domestic_credit_private_pct_gdp
1960,,,37029883876.1839,435990338.0,176938244.0,,7.84313262772837
1961,,,39232435784.0358,446564729.0,182521794.0,,8.51617615458605
1962,,,42161481858.0819,457283090.0,188220929.0,,8.98048080721811
1963,,,48421923459.1235,468138575.0,194047088.0,,9.10745401042819
1964,,,56480289940.9899,479229598.0,199495689.0,,8.53679190854436
1965,,,59556105229.0052,490140146.0,204235429.0,,9.27009162146605
1966,,,45581230504.071,500740247.0,208626765.0,,9.51540771795407
1967,,,50134942204.0,511606372.0,212889543.0,,9.11672870404146
1968,,,53085455870.6667,522716889.0,217183636.0,,9.82064342827666
1969,,,58447995017.3333,533880544.0,221484821.0,,10.4001286354887
1970,,,62422483054.6667,545864268.0,225762508.0,,11.2365497014764
1971,,,67351404351.833,558096387.0,230106748.0,,12.4934379258298
1972,,,71464700666.9869,570482142.0,234521728.0,,12.9223576801012
1973,,,85517673172.5513,583465598.0,239066717.0,,13.0938638341127
1974,,,99526597933.6331,597041391.0,243798058.0,,12.9137997938057
1975,,,98473832017.3242,611309535.0,248577214.0,,14.9337333299206
1976,,,102716451979.68,625861883.0,253397499.0,,17.8877016985182
1977,,,121486641441.309,640801103.0,258273523.0,,18.0417851880559
1978,,,137302319828.995,655728229.0,263111810.0,,19.6954206973289
1979,,,152995442497.709,671155747.0,268134748.0,,20.9567362383734
1980,,,186328579302.068,687354025.0,273549976.0,,20.5434589538871
1981,,,193491368445.573,703696250.0,279263189.0,,21.2254624473987
1982,,,200715624830.902,720313473.0,285099388.0,,22.6878989175431
1983,,,218262146413.158,737372681.0,291046206.0,,22.8926687647968
1984,,,212157645177.652,754875449.0,297195853.0,,24.2825746445338
1985,,,232511554840.372,772647793.0,303472999.0,,24.5636651595543
1986,,,248985994040.59,790689978.0,309789593.0,,25.8010010963318
1987,,,279033584092.223,808931270.0,316017297.0,,25.3823595128242
1988,,,296589670895.932,827342990.0,322026543.0,,25.2751174407626
1989,,,296042052944.66,846039529.0,327858064.0,,26.5898140097507
1990,,,320979026420.035,864972221.0,333535230.0,,24.9164565697186
1991,,,270105341879.226,883927600.0,338995019.0,,23.8217444526828
1992,,,288208070278.013,902957070.0,344270138.0,,24.6982402507395
1993,,,279295648982.529,922118387.0,349387193.0,,23.8320553867162
1994,,,327274843459.429,941163767.0,354211596.0,,23.6473414046455
1995,,,360281909643.489,960301044.0,358656131.0,,22.5107747023582
1996,,,392896866204.516,979678458.0,362724782.0,,23.4024420368578
1997,,,415867563592.829,999133762.0,366495931.0,,23.5553253462263
1998,,,421351317224.941,1018665080.0,369975223.0,,23.6777468578745
1999,,,458821052615.79,1038225823.0,373120146.0,,25.4228622073471
2000,,,468395521654.458,1057922733.0,376124150.0,,28.3395511575183
2001,,,485440139204.171,1077898575.0,379060195.0,,28.6194154254102
2002,,,514939140318.756,1097600380.0,381748169.0,,32.3064890735537
2003,,,607700687237.318,1116803006.0,384068630.0,,31.6262656186491
2004,,,709152728830.775,1135991513.0,386011104.0,,36.1918038545968
2005,,,820383763511.445,1154676322.0,387531538.0,4.4017855944882,40.0679804780573
2006,,,940259888787.721,1172878890.0,388558967.0,,43.6277524334268
2007,,,1216736438834.96,1190676021.0,389140657.0,,45.6277647457138
2008,,,1198895139005.92,1207930964.0,389442234.0,2.44971206075607,49.559366687116
2009,,,1341888016994.9,1225524753.0,389683642.0,,48.1244479112046
2010,,,1675615519484.96,1243481564.0,389736560.0,,50.5553749785224
2011,35.2318385316409,26.4905002133377,1823051829894.55,1261224954.0,389465834.0,2.67019501469286,51.2892331325447
2012,,,1827637590410.41,1278674502.0,388914981.0,3.37395391664123,51.8885076473464
2013,,,1856721507621.58,1295829511.0,387976221.0,4.0277286350163,52.385709516972
2014,53.1415500480136,43.1326096683799,2039126479154.52,1312277191.0,386290188.0,4.34584976316208,51.8821873589628
2015,,,2103588360044.94,1328024498.0,383971739.0,5.88352227400691,51.8675240772049
2016,,,2294796885663.16,1343944296.0,381480646.0,9.18565591814956,38.2036507912231
2017,79.8753284971461,76.6396327822793,2651474262755.45,1359657400.0,378635655.0,9.97528206363178,38.1707138624147
2018,,,2702929641648.74,1374659064.0,375663468.0,9.46095691207991,38.8975254010362
2019,,,2835606256558.19,1389030312.0,372709109.0,9.23442899080833,38.73794497616
2020,,,2674851578587.27,1402617695.0,369524878.0,7.93883072465331,40.7867848551821
2021,77.5291370626274,77.552612718915,3167270623260.47,1414203896.0,366351802.0,6.54245582956179,36.8920885102897
2022,,,3249938492013.47,1425423212.0,363307647.0,4.81188454630947,38.1859763563586
2023,,,3500906030644.76,1438069596.0,360337993.0,3.35890319602042,40.8940758962907
2024,89.0248224502547,89.2482328079147,3760813470500.86,1450935791.0,357277018.0,2.50044366571028,41.6079694330613
2025,,,3956067115771.63,1463865525.0,354186169.0,2.06283569455848,44.0250903358104
