months,accepted_per_100k_txns,returned_pct
2022-01,5.284,5.29
2022-02,5.22,5.99
2022-03,7.708,7.84
2022-04,8.082,6.78
2022-05,9.46,5.49
2022-06,8.969,8.72
2022-07,8.143,6.62
2022-08,8.339,6.69
2022-09,7.167,8.74
2022-10,7.18,9.56
2022-11,7.376,8.3
2022-12,7.618,2.86
2023-01,6.446,7.79
2023-02,6.552,9.84
2023-03,7.292,8.67
2023-04,7.139,9.03
2023-05,9.475,9.28
2023-06,7.058,9.34
2023-07,7.488,8.48
2023-08,7.095,7.92
2023-09,6.59,8.16
2023-10,6.874,9.08
2023-11,6.425,10.76
2023-12,7.057,8.99
2024-01,9.004,8.42
2024-02,7.452,7.41
2024-03,7.487,8.15
2024-04,7.615,7.48
2024-05,7.496,8.83
2024-06,8.124,8.58
2024-07,11.088,7.65
2024-08,10.339,9.88
2024-09,9.799,7.11
2024-10,9.707,8.74
2024-11,9.515,6.37
2024-12,6.734,7.91
2025-01,7.308,12.16
2025-02,7.073,4.98
2025-03,6.239,5.1
2025-04,6.654,11.18
2025-05,5.21,11.23
2025-06,5.065,7.95
2025-07,5.435,9.92
2025-08,4.573,12.1
2025-09,4.87,8.35
2025-10,5.7,9.18
2025-11,4.467,6.84
2025-12,4.544,9.6
2026-01,4.385,15.4
2026-02,4.704,13.31
2026-03,4.58,13.19
2026-04,4.236,16.23
