months,volume_share,value_share
2020-11,0.0525,0.0557
2020-12,0.0637,0.0586
2021-01,0.0833,0.0777
2021-02,0.0923,0.0857
2021-03,0.1067,0.0903
2021-04,0.116,0.098
2021-05,0.1191,0.1017
2021-06,0.1262,0.1001
2021-07,0.1336,0.1024
2021-08,0.1454,0.1036
2021-09,0.1521,0.1021
2021-10,0.1558,0.1031
2021-11,0.1656,0.1061
2021-12,0.1654,0.1013
2022-01,0.1782,0.1033
2022-02,0.1777,0.1025
2022-03,0.1836,0.1016
2022-04,0.1892,0.1018
2022-05,0.1965,0.1028
2022-06,0.2057,0.1028
2022-07,0.211,0.1028
2022-08,0.2192,0.104
2022-09,0.2239,0.1042
2022-10,0.2305,0.1065
2022-11,0.2402,0.1109
2022-12,0.2426,0.109
2023-01,0.2589,0.1114
2023-02,0.2608,0.1102
2023-03,0.2686,0.1108
2023-04,0.2798,0.111
2023-05,0.2898,0.1133
2023-06,0.2985,0.1134
2023-07,0.318,0.1161
2023-08,0.3315,0.1173
2023-09,0.335,0.1166
2023-10,0.3456,0.1157
2023-11,0.3562,0.1183
2023-12,0.3588,0.118
2024-01,0.3804,0.1196
2024-02,0.379,0.1209
2024-03,0.385,0.1209
2024-04,0.3874,0.1166
2024-05,0.3909,0.1193
2024-06,0.3905,0.119
2024-07,0.3946,0.117
2024-08,0.3983,0.1206
2024-09,0.3985,0.1197
2024-10,0.3971,0.1182
2024-11,0.3991,0.1204
2024-12,0.404,0.1194
2025-01,0.4171,0.1177
2025-02,0.4127,0.1179
2025-03,0.4203,0.1206
2025-04,0.4248,0.12
2025-05,0.424,0.1204
2025-06,0.4244,0.1174
2025-07,0.4268,0.1167
2025-08,0.4332,0.1188
2025-09,0.4337,0.1163
2025-10,0.436,0.1171
2025-11,0.4427,0.1237
2025-12,0.4442,0.115
2026-01,0.4566,0.1182
2026-02,0.4561,0.116
2026-03,0.4584,0.1131
2026-04,0.4618,0.1172
2026-05,0.4615,0.1205
2026-06,0.4604,0.1168
2026-07,0.4639,0.1161
2026-08,0.4664,0.1179
