months,AUTO,INIC,APDN,APES
2021-06,,,,
2021-07,,,,
2021-08,,,,
2021-09,,,,
2021-10,,,,
2021-11,,,,
2021-12,,,,
2022-01,,,,
2022-02,,,,
2022-03,,0.0,,
2022-04,,0.0,,
2022-05,,0.0,,
2022-06,,1e-06,,
2022-07,,1e-06,,
2022-08,,1e-06,,
2022-09,,1e-06,,
2022-10,,1e-06,,
2022-11,,1e-06,,
2022-12,,2e-06,,
2023-01,,2e-06,,
2023-02,,3e-06,,
2023-03,,3e-06,,
2023-04,,2e-06,,
2023-05,,1e-06,,
2023-06,,0.0,,
2023-07,,0.0,,
2023-08,,0.0,,
2023-09,,1e-06,,
2023-10,,3e-06,,
2023-11,,6e-06,,
2023-12,,7e-06,,
2024-01,,7e-06,,
2024-02,,7e-06,,
2024-03,,1.2e-05,,
2024-04,,5e-06,,
2024-05,,1e-06,,
2024-06,,1e-06,,
2024-07,,5e-06,,
2024-08,,1e-06,,
2024-09,,1e-06,,
2024-10,,6e-06,,
2024-11,,1.6e-05,,
2024-12,,8e-06,,
2025-01,,7e-06,,
2025-02,,1.1e-05,,
2025-03,,1.1e-05,,
2025-04,,7.4e-05,,
2025-05,,1.9e-05,,
2025-06,0.0,2.4e-05,0.0,
2025-07,1e-06,8.8e-05,1e-05,
2025-08,1e-05,7e-06,0.000161,
2025-09,3.3e-05,5e-06,0.000168,
2025-10,6.3e-05,5e-06,0.000149,
2025-11,9.5e-05,0.000129,0.000256,0.0
2025-12,0.000183,6.7e-05,0.000302,2e-06
2026-01,0.000304,6e-06,0.000289,1e-06
2026-02,0.000419,6e-06,0.000314,2e-06
2026-03,0.000574,5e-06,0.000339,2e-06
2026-04,0.000702,5e-06,0.000382,2e-06
2026-05,0.000828,5e-06,0.00038,2e-06
2026-06,0.001278,4e-06,0.000411,2e-06
2026-07,0.001731,4e-06,0.000451,2e-06
2026-08,0.002089,4e-06,0.000475,2e-06
