months,PhonePe,Google Pay,Paytm,Navi,super.money,BHIM
2023-12,0.4694,0.364,0.1309,,,
2024-06,0.4837,0.3676,0.0796,,,
2024-12,0.4772,0.367,0.0688,0.0121,0.0061,
2025-06,0.4646,0.3556,0.069,0.0221,0.0119,0.004
2025-12,0.4529,0.338,0.0751,0.0311,0.0133,0.0072
2026-01,0.4568,0.3331,0.0765,0.0327,0.0137,0.0079
2026-02,0.4552,0.3318,0.0782,0.0319,0.0142,0.0086
2026-03,0.4639,0.3328,0.0782,0.0349,0.0151,0.0089
2026-04,0.4623,0.3293,0.0796,0.0359,0.0165,0.0094
2026-05,0.4627,0.3275,0.0791,0.0355,0.0181,0.0098
2026-06,0.4615,0.3261,0.0792,0.0371,0.0189,0.0098
2026-07,0.4589,0.3233,0.0805,0.04,0.0185,0.0102
