state,volume_share,value_share,merchant_volume_share,merchant_value_share,p2p_volume_share,utility_volume_share,merchant_avg_ticket_inr,avg_ticket_inr,ticket_vs_national
Maharashtra,0.131,0.1201,0.6739,0.2379,0.2743,0.0518,381.0,1079.0,0.917
Karnataka,0.1162,0.1163,0.6753,0.2344,0.2784,0.0463,409.0,1178.0,1.001
Telangana,0.1003,0.1127,0.6603,0.1974,0.295,0.0448,395.0,1322.0,1.124
Uttar Pradesh,0.0948,0.0866,0.6256,0.2553,0.3186,0.0558,438.0,1075.0,0.913
Andhra Pradesh,0.084,0.1016,0.6096,0.1891,0.3419,0.0486,442.0,1424.0,1.211
Rajasthan,0.066,0.0701,0.642,0.2311,0.2985,0.0595,450.0,1249.0,1.062
Bihar,0.0592,0.0589,0.5658,0.2296,0.3844,0.0498,475.0,1170.0,0.994
Madhya Pradesh,0.0591,0.0565,0.6378,0.2329,0.3032,0.0591,411.0,1125.0,0.956
West Bengal,0.0461,0.0486,0.5643,0.227,0.3665,0.0691,499.0,1241.0,1.055
Odisha,0.0394,0.0366,0.6124,0.2297,0.3331,0.0545,410.0,1094.0,0.93
Delhi,0.0303,0.0259,0.6851,0.2527,0.2618,0.0531,370.0,1004.0,0.853
Gujarat,0.0299,0.0285,0.6539,0.2548,0.2853,0.0608,437.0,1121.0,0.952
Haryana,0.0292,0.0278,0.6794,0.2513,0.2679,0.0527,413.0,1117.0,0.95
Tamil Nadu,0.0271,0.0289,0.6363,0.2163,0.3037,0.06,427.0,1255.0,1.066
Jharkhand,0.0211,0.02,0.6116,0.2495,0.3361,0.0523,455.0,1115.0,0.947
Chhattisgarh,0.0167,0.0149,0.6229,0.2821,0.308,0.0691,475.0,1050.0,0.892
Assam,0.0142,0.0114,0.5731,0.2501,0.3578,0.0691,413.0,946.0,0.804
Kerala,0.0076,0.0074,0.6514,0.29,0.2801,0.0685,507.0,1139.0,0.968
Punjab,0.0073,0.0081,0.6267,0.2655,0.3054,0.0679,555.0,1309.0,1.112
Uttarakhand,0.0064,0.0056,0.6638,0.2812,0.2811,0.0552,438.0,1033.0,0.878
Jammu & Kashmir,0.0049,0.0045,0.6257,0.2779,0.2941,0.0802,480.0,1081.0,0.919
Himachal Pradesh,0.0019,0.0018,0.641,0.2953,0.2881,0.0709,505.0,1096.0,0.932
Goa,0.0014,0.0015,0.679,0.2963,0.2714,0.0496,546.0,1251.0,1.064
Arunachal Pradesh,0.0011,0.001,0.6077,0.2946,0.3321,0.0602,567.0,1169.0,0.993
Dadra & Nagar Haveli & Daman & Diu,0.0009,0.0006,0.6929,0.2687,0.2608,0.0462,312.0,804.0,0.683
Chandigarh,0.0007,0.0006,0.7096,0.3223,0.2462,0.0441,456.0,1004.0,0.853
Tripura,0.0006,0.0006,0.5668,0.2772,0.3487,0.0845,572.0,1170.0,0.994
Meghalaya,0.0006,0.0005,0.4837,0.2351,0.4452,0.071,528.0,1086.0,0.923
Puducherry,0.0005,0.0005,0.6905,0.2746,0.2639,0.0456,460.0,1157.0,0.983
Sikkim,0.0004,0.0004,0.583,0.3089,0.3521,0.0649,647.0,1221.0,1.037
Nagaland,0.0003,0.0004,0.4922,0.2286,0.436,0.0717,615.0,1325.0,1.126
Manipur,0.0003,0.0004,0.4352,0.1785,0.4821,0.0827,666.0,1623.0,1.38
Ladakh,0.0002,0.0003,0.5693,0.2297,0.3598,0.0708,674.0,1670.0,1.419
Andaman & Nicobar Islands,0.0002,0.0002,0.634,0.2928,0.299,0.067,622.0,1347.0,1.145
Mizoram,0.0001,0.0001,0.482,0.2012,0.4464,0.0716,548.0,1313.0,1.115
Lakshadweep,0.0,0.0,0.67,0.254,0.2742,0.0557,379.0,998.0,0.848
