month,banks_live,volume_mn,value_cr,provenance,avg_ticket_inr,value_lakh_cr,volume_yoy,value_yoy
2016-07,21.0,0.09,0.38,npci_ckan_mirror,42.2222,0.0,,
2016-08,21.0,0.09,3.09,npci_ckan_mirror,343.3333,0.0,,
2016-09,25.0,0.09,32.64,npci_ckan_mirror,3626.6667,0.0003,,
2016-10,26.0,0.1,48.57,npci_ckan_mirror,4857.0,0.0005,,
2016-11,30.0,0.29,100.46,npci_ckan_mirror,3464.1379,0.001,,
2016-12,35.0,1.99,707.93,npci_ckan_mirror,3557.4372,0.0071,,
2017-01,36.0,4.46,1696.22,npci_ckan_mirror,3803.1839,0.017,,
2017-02,44.0,4.38,1937.71,npci_ckan_mirror,4423.9954,0.0194,,
2017-03,44.0,6.37,2425.14,npci_ckan_mirror,3807.1272,0.0243,,
2017-04,48.0,7.2,2271.24,npci_ckan_mirror,3154.5,0.0227,,
2017-05,49.0,9.36,2797.07,npci_ckan_mirror,2988.3226,0.028,,
2017-06,52.0,10.35,3098.36,npci_ckan_mirror,2993.5845,0.031,,
2017-07,53.0,11.63,3411.35,npci_ckan_mirror,2933.233,0.0341,128.2222,8976.2368
2017-08,55.0,16.8,4156.62,npci_ckan_mirror,2474.1786,0.0416,185.6667,1344.1845
2017-09,57.0,30.98,5325.81,npci_ckan_mirror,1719.1123,0.0533,343.2222,162.1682
2017-10,60.0,76.96,7057.78,npci_ckan_mirror,917.0712,0.0706,768.6,144.3115
2017-11,61.0,105.02,9669.33,npci_ckan_mirror,920.7132,0.0967,361.1379,95.2505
2017-12,67.0,145.64,13174.24,npci_ckan_mirror,904.5757,0.1317,72.1859,17.6095
2018-01,71.0,151.83,15571.2,npci_ckan_mirror,1025.5681,0.1557,33.0426,8.1799
2018-02,86.0,171.4,19126.2,npci_ckan_mirror,1115.881,0.1913,38.1324,8.8705
2018-03,91.0,178.05,24172.6,npci_ckan_mirror,1357.6299,0.2417,26.9513,8.9675
2018-04,97.0,190.08,27021.85,npci_ckan_mirror,1421.6041,0.2702,25.4,10.8974
2018-05,101.0,189.48,33288.51,npci_ckan_mirror,1756.835,0.3329,19.2436,10.9012
2018-06,110.0,246.37,40834.03,npci_ckan_mirror,1657.427,0.4083,22.8039,12.1792
2018-08,114.0,273.75,51843.14,npci_ckan_mirror,1893.8133,0.5184,15.2946,11.4724
2018-09,122.0,405.87,59835.36,npci_ckan_mirror,1474.2494,0.5984,12.101,10.235
2018-10,128.0,482.36,74978.27,npci_ckan_mirror,1554.4048,0.7498,5.2677,9.6235
2018-11,128.0,524.94,82232.21,npci_ckan_mirror,1566.5068,0.8223,3.9985,7.5044
2018-12,129.0,620.17,102594.82,npci_ckan_mirror,1654.3016,1.0259,3.2582,6.7875
2019-01,134.0,672.75,109932.43,npci_ckan_mirror,1634.0755,1.0993,3.4309,6.06
2019-02,139.0,674.19,106737.12,npci_ckan_mirror,1583.1905,1.0674,2.9334,4.5807
2019-03,142.0,799.54,133460.72,npci_ckan_mirror,1669.2188,1.3346,3.4905,4.5212
2019-04,144.0,781.79,142034.39,npci_ckan_mirror,1816.7844,1.4203,3.113,4.2563
2019-05,143.0,733.54,152449.29,npci_ckan_mirror,2078.2683,1.5245,2.8713,3.5796
2019-06,142.0,754.54,146566.35,npci_ckan_mirror,1942.4596,1.4657,2.0626,2.5893
2019-07,143.0,822.29,146386.64,npci_ckan_mirror,1780.2313,1.4639,,
2019-08,141.0,918.35,154504.89,npci_ckan_mirror,1682.4184,1.545,2.3547,1.9802
2019-09,141.0,955.02,161456.56,npci_ckan_mirror,1690.6092,1.6146,1.353,1.6983
2019-10,141.0,1148.36,191359.94,npci_ckan_mirror,1666.3759,1.9136,1.3807,1.5522
2019-11,143.0,1218.77,189229.09,npci_ckan_mirror,1552.6235,1.8923,1.3217,1.3012
2019-12,143.0,1308.4,202520.76,npci_ckan_mirror,1547.8505,2.0252,1.1097,0.974
2020-01,144.0,1305.02,216242.97,npci_ckan_mirror,1657.0089,2.1624,0.9398,0.9671
2020-02,146.0,1325.69,222516.95,npci_ckan_mirror,1678.4991,2.2252,0.9663,1.0847
2020-03,148.0,1246.84,206462.31,npci_ckan_mirror,1655.8846,2.0646,0.5594,0.547
2020-04,153.0,999.57,151140.66,npci_ckan_mirror,1512.0568,1.5114,0.2786,0.0641
2020-05,155.0,1234.5,218391.6,npci_ckan_mirror,1769.0693,2.1839,0.6829,0.4326
2020-06,155.0,1336.93,261835.0,npci_ckan_mirror,1958.4795,2.6184,0.7718,0.7865
2020-07,164.0,1497.36,290537.86,npci_ckan_mirror,1940.3341,2.9054,0.821,0.9847
2020-08,168.0,1618.83,298307.61,npci_ckan_mirror,1842.7359,2.9831,0.7628,0.9307
2020-09,174.0,1800.14,329027.66,npci_ckan_mirror,1827.7893,3.2903,0.8849,1.0379
2020-10,189.0,2071.62,386106.74,npci_ckan_mirror,1863.7913,3.8611,0.804,1.0177
2020-11,200.0,2210.23,390999.15,npci_ckan_mirror,1769.0428,3.91,0.8135,1.0663
2020-12,207.0,2234.16,416176.21,npci_ckan_mirror,1862.7861,4.1618,0.7076,1.055
2021-01,207.0,2302.73,431181.89,npci_ckan_mirror,1872.4813,4.3118,0.7645,0.994
2021-02,213.0,2292.9,425062.76,npci_ckan_mirror,1853.8216,4.2506,0.7296,0.9102
2021-03,216.0,2731.68,504886.44,npci_ckan_mirror,1848.2635,5.0489,1.1909,1.4454
2021-04,220.0,2641.06,493663.68,npci_ckan_mirror,1869.1877,4.9366,1.6422,2.2663
2021-05,224.0,2539.57,490638.65,npci_ckan_mirror,1931.9753,4.9064,1.0572,1.2466
2021-06,229.0,2807.51,547373.17,npci_ckan_mirror,1949.6749,5.4737,1.1,1.0905
2021-07,235.0,3247.82,606281.14,npci_ckan_mirror,1866.7326,6.0628,1.169,1.0868
2021-08,249.0,3555.55,639116.95,npci_ckan_mirror,1797.5192,6.3912,1.1964,1.1425
2021-09,259.0,3654.3,654351.81,npci_ckan_mirror,1790.6352,6.5435,1.03,0.9887
2021-10,261.0,4218.65,771444.98,npci_ckan_mirror,1828.6537,7.7144,1.0364,0.998
2021-11,274.0,4186.48,768436.11,npci_ckan_mirror,1835.5184,7.6844,0.8941,0.9653
2021-12,282.0,4566.3,826848.22,npci_ckan_mirror,1810.7619,8.2685,1.0439,0.9868
2022-01,297.0,4617.15,831993.11,npci_ckan_mirror,1801.9625,8.3199,1.0051,0.9296
2022-02,304.0,4527.49,826843.0,npci_ckan_mirror,1826.2724,8.2684,0.9746,0.9452
2022-03,314.0,5405.65,960581.66,npci_ckan_mirror,1776.9957,9.6058,0.9789,0.9026
2022-04,316.0,5583.05,983302.27,npci_ckan_mirror,1761.2278,9.833,1.1139,0.9918
2022-05,323.0,5955.2,1041520.0,npci_ckan_mirror,1748.9253,10.4152,1.345,1.1228
2022-06,330.0,5862.75,1014384.0,npci_ckan_mirror,1730.2188,10.1438,1.0882,0.8532
2022-07,338.0,6288.4,1062991.0,npci_ckan_mirror,1690.3998,10.6299,0.9362,0.7533
2022-08,346.0,6579.63,1072792.68,npci_ckan_mirror,1630.4757,10.7279,0.8505,0.6786
2022-09,358.0,6780.8,1116438.1,npci_ckan_mirror,1646.4696,11.1644,0.8556,0.7062
2022-10,365.0,7305.42,1211582.51,npci_ckan_mirror,1658.4707,12.1158,0.7317,0.5705
2022-11,376.0,7309.45,1190593.39,npci_ckan_mirror,1628.8413,11.9059,0.746,0.5494
2022-12,382.0,7829.49,1282055.01,npci_ckan_mirror,1637.4694,12.8206,0.7146,0.5505
2023-01,385.0,8036.89,1298726.62,npci_ckan_mirror,1615.9567,12.9873,0.7407,0.561
2023-02,390.0,7534.76,1235846.62,npci_ckan_mirror,1640.1937,12.3585,0.6642,0.4947
2023-03,399.0,8685.3,1410443.01,npci_ckan_mirror,1623.9428,14.1044,0.6067,0.4683
2023-04,414.0,8898.14,1407007.55,npci_ckan_mirror,1581.2378,14.0701,0.5938,0.4309
2023-05,445.0,9415.19,1489145.5,npci_ckan_mirror,1581.6415,14.8915,0.581,0.4298
2023-06,458.0,9335.06,1475464.27,npci_ckan_mirror,1580.5622,14.7546,0.5923,0.4545
2023-07,473.0,9964.61,1533645.2,npci_ckan_mirror,1539.092,15.3365,0.5846,0.4428
2023-08,484.0,10586.02,1576536.56,npci_ckan_mirror,1489.2628,15.7654,0.6089,0.4696
2023-09,,10555.69,1579133.18,npci_manual,1496.0019,15.7913,0.5567,0.4144
2023-10,,11408.79,1715768.34,npci_manual,1503.9004,17.1577,0.5617,0.4161
2023-11,,11235.29,1739740.61,npci_manual,1548.4608,17.3974,0.5371,0.4612
2023-12,,12020.23,1822949.45,npci_manual,1516.5679,18.2295,0.5353,0.4219
2024-01,,12203.02,1841083.97,npci_manual,1508.7118,18.4108,0.5184,0.4176
2024-02,,12102.67,1827869.35,npci_manual,1510.3026,18.2787,0.6062,0.479
2024-03,,13440.0,1978353.23,npci_manual,1471.989,19.7835,0.5474,0.4026
2024-06,,13885.14,2007081.2,npci_manual,1445.4886,20.0708,0.4874,0.3603
2024-07,,14435.55,2064292.41,npci_manual,1430.0061,20.6429,0.4487,0.346
2024-08,,14963.05,2060735.57,npci_manual,1377.2163,20.6074,0.4135,0.3071
2024-09,,15041.75,2063994.71,npci_manual,1372.1772,20.6399,0.425,0.307
2024-10,,16584.97,2349821.46,npci_manual,1416.8379,23.4982,0.4537,0.3695
2024-11,,15482.02,2155187.41,npci_manual,1392.0583,21.5519,0.378,0.2388
2024-12,,16730.01,2324699.94,npci_manual,1389.5389,23.247,0.3918,0.2752
2025-01,,16996.01,2348037.11,npci_manual,1381.5226,23.4804,0.3928,0.2754
2025-02,,16106.19,2196481.7,npci_manual,1363.75,21.9648,0.3308,0.2017
2025-03,,18301.51,2477221.59,npci_manual,1353.5613,24.7722,0.3617,0.2522
2025-06,675.0,18395.01,2403930.69,npci_manual,1306.8385,24.0393,0.3248,0.1977
2025-07,684.0,19467.95,2508498.1,npci_manual,1288.5271,25.085,0.3486,0.2152
2025-08,688.0,20008.31,2485472.9,npci_manual,1242.2203,24.8547,0.3372,0.2061
2025-09,686.0,19633.43,2489736.52,npci_manual,1268.1108,24.8974,0.3053,0.2063
2025-10,683.0,20700.92,2727790.71,npci_manual,1317.7147,27.2779,0.2482,0.1609
2025-11,684.0,20466.98,2631632.64,npci_manual,1285.7943,26.3163,0.322,0.2211
2025-12,685.0,21634.67,2796712.71,npci_manual,1292.6995,27.9671,0.2932,0.203
2026-01,691.0,21703.46,2833481.26,npci_manual,1305.5436,28.3348,0.277,0.2067
2026-02,694.0,20394.2,2684229.3,npci_manual,1316.1729,26.8423,0.2662,0.2221
2026-03,705.0,22641.14,2952542.03,npci_manual,1304.0607,29.5254,0.2371,0.1919
2026-04,713.0,22346.8,2902988.05,npci_manual,1299.0621,29.0299,,
2026-05,720.0,23201.95,2990424.18,npci_manual,1288.8676,29.9042,,
2026-06,731.0,22716.08,2892138.66,npci_manual,1273.168,28.9214,0.2349,0.2031
2026-07,741.0,23658.35,2987880.48,npci_manual,1262.9285,29.8788,0.2152,0.1911
